Ticker,Nome,Preço Atual
AALR3,Alliança Saúde e Participações S.A.,4.91
ABCB4,Banco ABC Brasil S.A.,21.33
ABEV3,Ambev S.A.,13.56
AERI3,Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A.,4.02
AFLT3,Afluente Transmissão de Energia Elétrica S.A.,7.17
AGRO3,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,20.0
AGXY3,AgroGalaxy Participações S.A.,6.04
AHEB3,São Paulo Turismo S.A.,35.8
AHEB5,São Paulo Turismo S.A.,58.0
ALLD3,Allied Tecnologia S.A.,6.88
ALOS3,Allos S.A.,21.53
ALPA3,Alpargatas S.A.,8.61
ALPA4,Alpargatas S.A.,9.19
ALPK3,"Allpark Empreendimentos, Participações e Serviços S.A.",3.42
ALUP11,Alupar Investimento S.A.,30.1
ALUP3,Alupar Investimento S.A.,11.0
ALUP4,Alupar Investimento S.A.,9.63
AMAR11,Nome não disponível,N/D
AMAR3,Marisa Lojas S.A.,1.39
AMBP3,Ambipar Participações e Empreendimentos S.A.,168.0
AMER3,Americanas S.A.,6.65
AMOB3,AUTOMOB     ON      NM,10.3
ANIM3,Ânima Holding S.A.,4.1
ARML3,"Armac Locação, Logística e Serviços S.A.",3.86
ASAI3,Sendas Distribuidora S.A.,10.81
ATED3,ATOM EDUC   ON,1.87
ATMP3,Contax Participações S.A.,1.25
AURE3,Auren Energia S.A.,9.89
AVLL3,Alphaville S.A.,1.78
AZEV11,Nome não disponível,N/D
AZEV3,Azevedo & Travassos S.A.,0.43
AZEV4,Azevedo & Travassos S.A.,0.6
AZTE3,Azevedo & Travassos Energia S.A.,0.54
AZUL4,Azul S.A.,0.94
AZZA3,Azzas 2154 S.A.,38.63
BALM3,Baumer S.A.,19.9
BALM4,Baumer S.A.,15.84
BAUH4,Excelsior Alimentos S.A.,81.86
BAZA3,Banco da Amazônia S.A.,76.1
BBAS3,Banco do Brasil S.A.,21.09
BBDC3,Banco Bradesco S.A.,14.19
BBDC4,Banco Bradesco S.A.,16.49
BBSE3,BB Seguridade Participações S.A.,35.51
BDLL3,Bardella S.A. Indústrias Mecânicas,9.0
BDLL4,Bardella S.A. Indústrias Mecânicas,7.7
BEEF3,Minerva S.A.,4.81
BEES3,Banestes S.A - Banco do Estado do Espírito Santo,8.4
BEES4,Banestes S.A - Banco do Estado do Espírito Santo,8.5
BGIP3,Banco do Estado de Sergipe S.A.,32.16
BGIP4,Banco do Estado de Sergipe S.A.,27.0
BHIA3,Grupo Casas Bahia S.A.,3.19
BIED3,Bahema Educação S.A.,4.24
BIOM3,Biomm S.A.,6.97
BLAU3,Blau Farmacêutica S.A.,13.57
BMEB3,Banco Mercantil do Brasil S.A.,33.65
BMEB4,Banco Mercantil do Brasil S.A.,40.5
BMGB4,Banco BMG S.A.,3.59
BMIN3,Banco Mercantil de Investimentos S.A.,20.0
BMIN4,Banco Mercantil de Investimentos S.A.,16.47
BMKS3,Bicicletas Monark S.A.,421.5
BMOB3,Bemobi Mobile Tech S.A.,19.5
BNBR3,Banco do Nordeste do Brasil S.A.,90.0
BOBR4,Bombril S.A.,1.56
BPAC11,Banco BTG Pactual S.A.,41.55
BPAC3,Banco BTG Pactual S.A.,22.82
BPAC5,Banco BTG Pactual S.A.,9.18
BPAN4,Banco Pan S.A.,8.12
BRAP3,Bradespar S.A.,14.35
BRAP4,Bradespar S.A.,15.14
BRAV3,Brava Energia S.A.,19.85
BRBI11,BRBI BR Partners S.A.,15.35
BRFS3,BRF S.A.,21.76
BRKM3,Braskem S.A.,10.12
BRKM5,Braskem S.A.,9.68
BRKM6,Braskem S.A.,8.0
BRSR3,Banco do Estado do Rio Grande do Sul S.A.,11.9
BRSR5,Banco do Estado do Rio Grande do Sul S.A.,14.43
BRSR6,Banco do Estado do Rio Grande do Sul S.A.,11.63
BRST3,BRISANET    ON      NM,2.9
BSLI3,BRB - Banco de Brasília S.A.,7.81
BSLI4,BRB - Banco de Brasília S.A.,9.2
CAMB3,Cambuci S.A.,9.58
CAML3,Camil Alimentos S.A.,4.98
CASH3,Méliuz S.A.,6.91
CBAV3,Companhia Brasileira de Alumínio,4.23
CCTY3,RDVC CITY   ON      NM,21.99
CEAB3,C&A Modas S.A.,17.02
CEBR3,Companhia Energética de Brasília - CEB,18.62
CEBR5,Companhia Energética de Brasília - CEB,19.3
CEBR6,Companhia Energética de Brasília - CEB,20.66
CEDO4,Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.,17.5
CEEB3,Companhia de Eletricidade do Estado da Bahia - COELBA,37.52
CEEB5,Companhia de Eletricidade do Estado da Bahia - COELBA,45.99
CEED3,Companhia Estadual de Distribuição de Energia Elétrica,8.9
CGAS3,Companhia de Gás de São Paulo - COMGÁS,120.0
CGAS5,Companhia de Gás de São Paulo - COMGÁS,125.21
CGRA3,Grazziotin S.A.,28.99
CGRA4,Grazziotin S.A.,28.82
CLSC3,Centrais Elétricas de Santa Catarina S.A.,90.22
CLSC4,Centrais Elétricas de Santa Catarina S.A.,101.95
CMIG3,Companhia Energética de Minas Gerais - CEMIG,15.55
CMIG4,Companhia Energética de Minas Gerais - CEMIG,10.73
CMIN3,CSN Mineração S.A.,4.92
COCE3,Companhia Energética do Ceará - COELCE,27.96
COCE5,Companhia Energética do Ceará - COELCE,26.1
COGN3,Cogna Educação S.A.,2.8
CPFE3,CPFL Energia S.A.,40.3
CPLE3,Companhia Paranaense de Energia - COPEL,11.63
CPLE5,Companhia Paranaense de Energia - COPEL,13.85
CPLE6,Companhia Paranaense de Energia - COPEL,12.55
CRPG3,Tronox Pigmentos do Brasil S.A.,19.27
CRPG5,Tronox Pigmentos do Brasil S.A.,18.62
CRPG6,Tronox Pigmentos do Brasil S.A.,19.61
CSAN3,Cosan S.A.,6.94
CSED3,Cruzeiro do Sul Educacional S.A.,5.18
CSMG3,Companhia de Saneamento de Minas Gerais,27.68
CSNA3,Companhia Siderúrgica Nacional,7.74
CSUD3,CSU Digital S.A.,18.39
CTKA3,Karsten S.A.,41.79
CTKA4,Karsten S.A.,37.0
CTSA3,Companhia Tecidos Santanense Ltda.,2.21
CTSA4,Companhia Tecidos Santanense Ltda.,2.28
CURY3,Cury Construtora e Incorporadora S.A.,28.6
CVCB3,CVC Brasil Operadora e Agência de Viagens S.A.,2.29
CXSE3,Caixa Seguridade Participações S.A.,14.2
CYRE3,Cyrela Brazil Realty S.A. Empreendimentos e Participações,25.38
DASA3,Diagnósticos da América S.A.,1.37
DESK3,Desktop S.A.,9.57
DEXP3,Dexxos Participações S.A.,9.1
DEXP4,Dexxos Participações S.A.,8.9
DIRR3,Direcional Engenharia S.A.,41.61
DMVF3,d1000 Varejo Farma Participações S.A.,4.85
DOHL3,Döhler S.A.,6.51
DOHL4,Döhler S.A.,3.95
DOTZ3,Dotz S.A.,7.4
DTCY3,DTCOM - Direct to Company S.A.,2.9
DXCO3,Dexco S.A.,5.64
EALT3,Electro Aço Altona S.A.,15.2
EALT4,Electro Aço Altona S.A.,14.0
ECOR3,EcoRodovias Infraestrutura e Logística S.A.,7.4
EGIE3,Engie Brasil Energia S.A.,41.4
EKTR3,Elektro Redes S.A.,35.01
EKTR4,Elektro Redes S.A.,47.6
ELET3,Centrais Elétricas Brasileiras S.A. - Eletrobrás,40.14
ELET5,Centrais Elétricas Brasileiras S.A. - Eletrobrás,82.5
ELET6,Centrais Elétricas Brasileiras S.A. - Eletrobrás,44.42
ELMD3,Eletromidia S.A.,31.0
